Id,Name,EngName
19,阿森纳,Arsenal
24,切尔西,Chelsea
25,利物浦,Liverpool
26,曼彻斯特城,Manchester City
27,曼彻斯特联,Manchester United
28,纽卡斯尔联,Newcastle United
29,富勒姆,Fulham
30,南安普敦,Southampton
31,埃弗顿,Everton
33,托特纳姆热刺,Tottenham Hotspur
35,水晶宫,Crystal Palace
46,伯恩利,Burnley
52,狼队,Wolves
53,沃特福德,Watford
59,莱切斯特城,Leicester City
60,布莱顿,Brighton   Hove Albion
62,西汉姆联,West Ham United
64,卡迪夫城,Cardiff City
344,哈德斯菲尔德,Huddersfield Town
348,伯恩茅斯,Bournemouth AFC
